Player,Pos,G,FG,FGA,FGP,3P,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PTS,VORP
Stephen Curry,PG,79,10.2,20.2,0.504,5.1,4.6,5.1,0.908,5.4,6.7,2.1,0.2,3.3,30.1,9.8
Russell Westbrook,PG,80,8.2,18.1,0.454,1.3,5.8,7.2,0.812,7.8,10.4,2,0.3,4.3,23.5,8.3
LeBron James,SF,76,9.7,18.6,0.52,1.1,4.7,6.5,0.731,7.4,6.8,1.4,0.6,3.3,25.3,7.6
James Harden,SG,82,8.7,19.7,0.439,2.9,8.8,10.2,0.86,6.1,7.5,1.7,0.6,4.6,29,6.9
Kevin Durant,SF,72,9.7,19.2,0.505,2.6,6.2,6.9,0.898,8.2,5,1,1.2,3.5,28.2,6.4
Kyle Lowry,PG,77,6.6,15.6,0.427,2.8,5.2,6.4,0.811,4.7,6.4,2.1,0.4,2.9,21.2,6.3
Kawhi Leonard,SF,72,7.7,15.1,0.506,1.8,4.1,4.6,0.874,6.8,2.6,1.8,1,1.5,21.2,6.2
Chris Paul,PG,74,7,15.1,0.462,1.6,4,4.4,0.896,4.2,10,2.1,0.2,2.6,19.5,6
Draymond Green,PF,81,5,10.1,0.49,1.2,2.8,4.1,0.696,9.5,7.4,1.5,1.4,3.2,14,5.5
Paul Millsap,PF,81,6.2,13.2,0.47,0.9,3.8,5,0.757,9,3.3,1.8,1.7,2.4,17.1,4.9
Paul George,SF,81,7.5,17.9,0.418,2.6,5.6,6.5,0.86,7,4.1,1.9,0.4,3.3,23.1,4.6
Kemba Walker,PG,81,7,16.4,0.427,2.2,4.6,5.4,0.847,4.4,5.2,1.6,0.5,2.1,20.9,4.4
Al Horford,C,82,6.5,12.8,0.505,1.1,1.3,1.6,0.798,7.3,3.2,0.8,1.5,1.3,15.2,4.1
Damian Lillard,PG,75,8.2,19.7,0.419,3.1,5.5,6.2,0.892,4,6.8,0.9,0.4,3.2,25.1,3.8
Jimmy Butler,SG,67,7,15.4,0.454,1,5.9,7.1,0.832,5.3,4.8,1.6,0.6,2,20.9,3.7
John Wall,PG,77,7.4,17.5,0.424,1.5,3.5,4.5,0.791,4.9,10.2,1.9,0.8,4.1,19.9,3.7
DeAndre Jordan,C,77,4.6,6.6,0.703,0,3.5,8,0.43,13.8,1.2,0.7,2.3,1.4,12.7,3.5
