Player,Rookie,Pos,G,FG,FGA,FGP,3P,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PTS,VORP
Russell Westbrook,0,PG,81,10.2,24,0.425,2.5,8.8,10.4,0.845,10.7,10.4,1.6,0.4,5.4,31.6,12.4
James Harden,0,PG,81,8.3,18.9,0.44,3.2,9.2,10.9,0.847,8.1,11.2,1.5,0.5,5.7,29.1,9
LeBron James,0,SF,74,9.9,18.2,0.548,1.7,4.8,7.2,0.674,8.6,8.7,1.2,0.6,4.1,26.4,7.3
Giannis Antetokounmpo,0,SF,80,8.2,15.7,0.521,0.6,5.9,7.7,0.77,8.8,5.4,1.6,1.9,2.9,22.9,6.9
Jimmy Butler,0,SF,76,7.5,16.5,0.455,1.2,7.7,8.9,0.865,6.2,5.5,1.9,0.4,2.1,23.9,6.3
Stephen Curry,0,PG,79,8.5,18.3,0.468,4.1,4.1,4.6,0.898,4.5,6.6,1.8,0.2,3,25.3,6.2
Kawhi Leonard,0,SF,74,8.6,17.7,0.485,2,6.3,7.2,0.88,5.8,3.5,1.8,0.7,2.1,25.5,6.2
Rudy Gobert,0,C,81,5.1,7.7,0.661,0,3.8,5.9,0.653,12.8,1.2,0.6,2.6,1.8,14,5.4
Chris Paul,0,PG,61,6.1,12.9,0.476,2,3.8,4.3,0.892,5,9.2,2,0.1,2.4,18.1,5.3
Nikola Jokic,0,C,73,6.8,11.7,0.578,0.6,2.6,3.1,0.825,9.8,4.9,0.8,0.8,2.3,16.7,5.3
Karl-Anthony Towns,0,C,82,9.8,18,0.542,1.2,4.3,5.2,0.832,12.3,2.7,0.7,1.3,2.6,25.1,5.3
DeMarcus Cousins,0,C,72,9,19.9,0.452,1.8,7.2,9.3,0.772,11,4.6,1.4,1.3,3.7,27,5.3
Kevin Durant,0,PF,62,8.9,16.5,0.537,1.9,5.4,6.2,0.875,8.3,4.8,1.1,1.6,2.2,25.1,5.2
Kyle Lowry,0,PG,60,7.1,15.3,0.464,3.2,5,6.1,0.819,4.8,7,1.5,0.3,2.9,22.4,4.9
Isaiah Thomas,0,PG,76,9,19.4,0.463,3.2,7.8,8.5,0.909,2.7,5.9,0.9,0.2,2.8,28.9,4.8
Draymond Green,0,PF,76,3.6,8.6,0.418,1.1,2,2.8,0.709,7.9,7,2,1.4,2.4,10.2,4.6
Mike Conley,0,PG,69,6.7,14.6,0.46,2.5,4.6,5.3,0.859,3.5,6.3,1.3,0.3,2.3,20.5,4.5
John Wall,0,PG,78,8.3,18.4,0.451,1.1,5.4,6.8,0.801,4.2,10.7,2,0.6,4.1,23.1,4.3
Damian Lillard,0,PG,75,8.8,19.8,0.444,2.9,6.5,7.3,0.895,4.9,5.9,0.9,0.3,2.6,27,4.3
Gordon Hayward,0,SF,73,7.5,15.8,0.471,2,5,5.9,0.844,5.4,3.5,1,0.3,1.9,21.9,4
Marc Gasol,0,C,74,7.2,15.7,0.459,1.4,3.8,4.5,0.837,6.3,4.6,0.9,1.3,2.2,19.5,4
DeAndre Jordan,0,C,81,5.1,7.1,0.714,0,2.5,5.2,0.482,13.8,1.2,0.6,1.7,1.4,12.7,3.9
Otto Porter,0,SF,80,5.2,10,0.516,1.9,1.2,1.5,0.832,6.4,1.5,1.5,0.5,0.6,13.4,3.9
Kemba Walker,0,PG,79,8.1,18.3,0.444,3,3.8,4.5,0.847,3.9,5.5,1.1,0.3,2.1,23.2,3.9
Anthony Davis,0,C,75,10.3,20.3,0.505,0.5,6.9,8.6,0.802,11.8,2.1,1.3,2.2,2.4,28,3.9
Blake Griffin,0,PF,61,7.9,15.9,0.493,0.6,5.2,6.9,0.76,8.1,4.9,0.9,0.4,2.3,21.6,3.4
Paul George,0,SF,75,8.3,18,0.461,2.6,4.5,5,0.898,6.6,3.3,1.6,0.4,2.9,23.7,3.2
Eric Bledsoe,0,PG,66,6.8,15.7,0.434,1.6,5.9,6.9,0.847,4.8,6.3,1.4,0.5,3.4,21.1,2.9
Kyrie Irving,0,PG,72,9.3,19.7,0.473,2.5,4.1,4.6,0.905,3.2,5.8,1.2,0.3,2.5,25.2,2.9
Goran Dragic,0,PG,73,7.3,15.4,0.475,1.6,4.1,5.2,0.79,3.8,5.8,1.2,0.2,2.9,20.3,2.9
Myles Turner,0,C,81,5.5,10.7,0.511,0.5,3,3.7,0.809,7.3,1.3,0.9,2.1,1.3,14.5,2.8
Al Horford,0,C,68,5.6,11.8,0.473,1.3,1.6,2,0.8,6.8,5,0.8,1.3,1.7,14,2.8
Bradley Beal,0,SG,77,8.3,17.2,0.482,2.9,3.7,4.4,0.825,3.1,3.5,1.1,0.3,2,23.1,2.8
Paul Millsap,0,PF,69,6.2,14.1,0.442,1.1,4.5,5.9,0.768,7.7,3.7,1.3,0.9,2.3,18.1,2.7
Jeff Teague,0,PG,82,4.9,11.1,0.442,1.1,4.4,5.1,0.867,4,7.8,1.2,0.4,2.6,15.3,2.6
Trevor Ariza,0,SF,80,4.1,10,0.409,2.4,1.2,1.6,0.738,5.7,2.2,1.8,0.3,0.9,11.7,2.6
Gorgui Dieng,0,PF,82,4,8.1,0.502,0.2,1.7,2,0.814,7.9,1.9,1.1,1.2,1.3,10,2.5
James Johnson,0,PF,76,4.8,10.1,0.479,1.1,2,2.8,0.707,4.9,3.6,1,1.1,2.3,12.8,2.5
Mason Plumlee,0,C,81,4.1,7.7,0.536,0,2.1,3.7,0.58,7.5,3.5,0.9,1.1,1.7,10.4,2.5
Andre Iguodala,0,SF,76,2.9,5.5,0.528,0.8,0.9,1.3,0.706,4,3.4,1,0.5,0.8,7.6,2.5
Dwight Howard,0,C,74,5.2,8.3,0.633,0,3.1,5.7,0.533,12.7,1.4,0.9,1.2,2.3,13.5,2.4
Pau Gasol,0,C,64,4.7,9.4,0.502,0.9,2,2.9,0.707,7.8,2.3,0.4,1.1,1.3,12.4,2.4
Patrick Beverley,0,SG,67,3.4,8.1,0.42,1.6,1.1,1.4,0.768,5.9,4.2,1.5,0.4,1.5,9.5,2.3
Joe Ingles,0,SF,82,2.5,5.5,0.452,1.5,0.6,0.8,0.735,3.2,2.7,1.2,0.1,1.3,7.1,2.3
George Hill,0,PG,49,5.9,12.4,0.477,1.9,3.2,4,0.801,3.4,4.2,1,0.2,1.7,16.9,2.2
CJ McCollum,0,SG,80,8.7,18,0.48,2.3,3.4,3.7,0.912,3.6,3.6,0.9,0.5,2.2,23,2.1
Nicolas Batum,0,SG,77,5.1,12.7,0.403,1.8,3.2,3.7,0.856,6.2,5.9,1.1,0.4,2.5,15.1,2.1
Jae Crowder,0,SF,72,4.6,10,0.463,2.2,2.4,3,0.811,5.8,2.2,1,0.3,1.1,13.9,2.1
Tristan Thompson,0,C,78,3.4,5.6,0.6,0,1.4,2.7,0.498,9.2,1,0.5,1.1,0.8,8.1,2
Tobias Harris,0,PF,82,6.2,13,0.481,1.3,2.3,2.8,0.841,5.1,1.7,0.7,0.5,1.2,16.1,2
Danny Green,0,SG,68,2.6,6.6,0.392,1.7,0.4,0.5,0.844,3.3,1.8,1,0.8,1.1,7.3,2
Jrue Holiday,0,PG,67,6,13.3,0.454,1.5,1.8,2.5,0.708,3.9,7.3,1.5,0.7,2.9,15.4,2
Lucas Nogueira,0,C,57,1.8,2.7,0.66,0.1,0.8,1.2,0.657,4.3,0.7,0.9,1.6,0.8,4.4,2
Brook Lopez,0,C,75,7.4,15.6,0.474,1.8,3.9,4.9,0.81,5.4,2.3,0.5,1.7,2.5,20.5,2
Thaddeus Young,0,PF,74,4.9,9.3,0.527,0.6,0.6,1.2,0.523,6.1,1.6,1.5,0.4,1.3,11,1.9
DeMar DeRozan,0,SG,74,9.7,20.9,0.467,0.4,7.4,8.7,0.842,5.2,3.9,1.1,0.2,2.4,27.3,1.9
David Lee,0,PF,79,3.1,5.3,0.59,0,1,1.4,0.708,5.6,1.6,0.4,0.5,1,7.3,1.9
Greg Monroe,0,C,81,4.8,9,0.533,0,2.2,3,0.741,6.6,2.3,1.1,0.5,1.7,11.7,1.9
