VenueID,Dist_to_Toronto,Dist_to_Dallas,Dist_to_San Antonio,Dist_to_Los Angeles,Dist_to_Washington,Dist_to_Indiana,Dist_to_Philadelphia,Dist_to_Chicago,Dist_to_Milwaukee,Dist_to_Minnesota,Dist_to_Memphis,Dist_to_New York,Dist_to_Denver,Dist_to_Atlanta,Dist_to_Boston,Dist_to_Phoenix,Dist_to_Miami,Dist_to_Sacramento,Dist_to_Utah,Dist_to_Cleveland,Dist_to_Golden State,Dist_to_New Orleans,Dist_to_Portland,Dist_to_Charlotte,Dist_to_Houston,Dist_to_Detroit,Dist_to_Oklahoma City,Dist_to_Orlando,Dist_to_Brooklyn
1194,343.8,1365.7,1574.7,2434.6,203.0,641.2,83.0,711.7,732.0,1017.5,950.2,4.8,1620.9,745.1,190.2,2129.1,1090.9,2489.7,1961.0,403.3,2543.9,1167.7,2444.8,531.0,1414.7,495.9,1318.0,940.2,0.0
381,817.9,418.3,628.0,1591.4,759.3,385.5,873.5,486.3,561.7,704.8,0.0,950.8,874.3,334.3,1130.9,1252.6,871.7,1734.3,1241.7,630.8,1775.0,359.5,1842.0,516.7,484.1,638.9,418.7,682.1,950.2
367,351.7,1177.2,1379.3,2281.6,0.0,488.3,120.4,594.2,634.0,931.3,759.3,205.2,1481.3,542.1,393.2,1966.0,925.4,2358.3,1832.5,304.3,2409.7,964.8,2347.1,330.2,1216.0,417.7,1142.8,760.2,203.0
799,1237.9,1111.8,1150.0,2334.8,925.4,1026.6,1018.7,1192.9,1272.1,1514.8,871.7,1095.0,1722.7,604.6,1259.0,1978.7,0.0,2540.2,2082.8,1091.3,2571.3,671.2,2700.4,652.5,970.9,1184.0,1224.6,202.8,1090.9
800,2189.9,1429.2,1454.2,362.7,2358.3,1870.8,2439.1,1778.0,1763.5,1507.6,1734.3,2487.9,879.9,2068.4,2616.2,633.1,2540.2,0.0,529.1,2086.5,69.1,1871.4,486.4,2225.0,1600.7,2000.0,1327.6,2380.4,2489.7
801,1661.2,996.0,1089.8,582.3,1832.5,1346.4,1911.3,1249.4,1234.4,982.7,1241.7,1959.1,368.0,1572.1,2087.2,509.6,2082.8,529.1,0.0,1557.8,585.9,1429.1,633.7,1714.2,1199.2,1470.8,858.6,1909.8,1961.0
375,429.9,859.5,1109.0,1735.2,634.0,245.5,691.2,81.7,0.0,297.9,561.7,729.7,909.1,673.1,853.1,1456.9,1272.1,1763.5,1234.4,334.8,1819.6,917.3,1717.1,661.4,1010.0,237.0,733.0,1069.7,732.0
803,189.6,1023.0,1253.5,2035.6,304.3,262.2,356.9,308.5,334.8,629.6,630.8,401.5,1218.5,558.2,546.8,1737.2,1091.3,2086.5,1557.8,0.0,2140.6,927.7,2052.0,438.9,1114.8,115.2,946.4,899.3,403.3
361,0,1202.0,1436.8,2164.5,351.7,440.0,337.9,436.8,429.9,692.5,817.9,340.2,1339.0,738.0,428.2,1880.0,1237.9,2189.9,1661.2,189.6,2247.0,1116.7,2116.5,590.7,1302.0,205.1,1113.1,1054.1,343.8
363,1202.0,0.0,251.5,1232.1,1177.2,762.5,1290.3,804.3,859.5,867.9,418.3,1366.2,662.8,716.5,1543.5,879.6,1111.8,1429.2,996.0,1023.0,1459.5,442.2,1627.9,924.3,226.8,1006.3,189.9,961.0,1365.7
