teamId,teamFullName,teamURLcode,city,conferenceName,divisionName
,,,,,
12326,Team Africa,africa,Team,,
12327,Team World,world,Team,,
15019,Adelaide 36ers,36ers,Adelaide,Intl,
1610612737,Atlanta Hawks,hawks,Atlanta,East,Southeast
15021,Beijing Ducks,ducks,Beijing,Intl,
1610612738,Boston Celtics,celtics,Boston,East,Atlantic
1610612751,Brooklyn Nets,nets,Brooklyn,East,Atlantic
1610612766,Charlotte Hornets,hornets,Charlotte,East,Southeast
1610612741,Chicago Bulls,bulls,Chicago,East,Central
1610612739,Cleveland Cavaliers,cavaliers,Cleveland,East,Central
1610612742,Dallas Mavericks,mavericks,Dallas,West,Southwest
1610612743,Denver Nuggets,nuggets,Denver,West,Northwest
1610612765,Detroit Pistons,pistons,Detroit,East,Central
1610612744,Golden State Warriors,warriors,Golden State,West,Pacific
15018,Guangzhou Long-Lions,long-lions,Guangzhou,Intl,
93,Maccabi Haifa,maccabi_haifa,Haifa,Intl,
1610612745,Houston Rockets,rockets,Houston,West,Southwest
1610612754,Indiana Pacers,pacers,Indiana,East,Central
1610612746,LA Clippers,clippers,LA,West,Pacific
1610612747,Los Angeles Lakers,lakers,Los Angeles,West,Pacific
15016,Melbourne United,united,Melbourne,Intl,
1610612763,Memphis Grizzlies,grizzlies,Memphis,West,Southwest
1610612748,Miami Heat,heat,Miami,East,Southeast
1610612749,Milwaukee Bucks,bucks,Milwaukee,East,Central
1610612750,Minnesota Timberwolves,timberwolves,Minnesota,West,Northwest
1610612740,New Orleans Pelicans,pelicans,New Orleans,West,Southwest
1610612752,New York Knicks,knicks,New York,East,Atlantic
15020,New Zealand Breakers,breakers,New Zealand,Intl,
1610612760,Oklahoma City Thunder,thunder,Oklahoma City,West,Northwest
1610612753,Orlando Magic,magic,Orlando,East,Southeast
104,Perth Wildcats,wildcats,Perth,Intl,
1610612755,Philadelphia 76ers,sixers,Philadelphia,East,Atlantic
1610612756,Phoenix Suns,suns,Phoenix,West,Pacific
1610612757,Portland Trail Blazers,blazers,Portland,West,Northwest
12325,Rio de Janeiro Flamengo,flamengo,Rio de Janeiro,Intl,
1610612758,Sacramento Kings,kings,Sacramento,West,Pacific
1610612759,San Antonio Spurs,spurs,San Antonio,West,Southwest
12329,Shanghai Sharks,shanghai_sharks,Shanghai,Intl,
15015,Sydney Kings,kings,Sydney,Intl,
1610612761,Toronto Raptors,raptors,Toronto,East,Atlantic
1610612762,Utah Jazz,jazz,Utah,West,Northwest
