FID_1,VENUEID,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,NAME2,NAME3,FORMER,YEAR,Lat_Y,Long_X,OBJECTID,VENUEID_1,USE_,USE_POP,TEAM,LEAGUE,CONFERENCE,DIVISION,INST_AFFIL,TRACK_TYPE,LENGTH_MI,ROOF_TYPE,STADIUM_SH,ADDDATE,USEWEBSITE,COMMENTS,FID_temp
42,1194,BARCLAYS CENTER,620 ATLANTIC AVENUE,NOT AVAILABLE,BROOKLYN,NY,11217,NOT AVAILABLE,(917) 618-6100,MULTIUSE,OPEN,17732,KINGS,36047,USA,40.682573251000000,-73.975230339000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.barclayscenter.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2016-02-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,40.68257325110,-73.97523033940,376,1194,NBA,17732,BROOKLYN NETS,NOT APPLICABLE,EASTERN,ATLANTIC,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/nets/no-fees,"USED TO SHARE ARENA WITH DEVILS (NHL), LIBERTY (WNBA), AND SETON HALL PIRATES (NCAA DIV I).  MOVED INTO BARCLAYS CENTER IN 2015 AND SHARES IT WITH THE NEW YORK ISLANDERS.",0
191,381,FEDEX FORUM,191 BEALE STREET,NOT AVAILABLE,MEMPHIS,TN,38103,NOT AVAILABLE,(901) 205-2525,MULTIUSE,OPEN,18400,SHELBY,19165,USA,35.138220848000000,-90.050384926999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://fedexforum.com/homepage.aspx,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,35.13822084800,-90.05038492690,364,381,NBA,18119,MEMPHIS GRIZZLIES,NOT APPLICABLE,WESTERN,SOUTHWEST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/grizzlies/,SHARES ARENA WITH MEMPHIS TIGERS (NCAA DIV I).,1
292,367,VERIZON CENTER,610 F STREET NW,NOT AVAILABLE,WASHINGTON,DC,20001,NOT AVAILABLE,(202) 628-3200,MULTIUSE,OPEN,20600,DISTRICT OF COLUMBIA,11001,USA,38.898171662999900,-77.021032074999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://verizoncenter.monumentalnetwork.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,MCI CENTER,2006,38.89817166320,-77.02103207530,378,367,NBA,20600,WASHINGTON WIZARDS,NOT APPLICABLE,EASTERN,SOUTHEAST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/wizards/,"SHARES ARENA WITH CAPITALS (NHL), MYSTICS (WNBA) AND GEORGETOWN HOYAS (NCAA DIV I).",2
395,799,AMERICAN AIRLINES ARENA,601 BISCAYNE BOULEVARD,NOT AVAILABLE,MIAMI,FL,33132,NOT AVAILABLE,(786) 777-1000,SINGLE USE,OPEN,19600,DADE,29057,USA,25.781330567000000,-80.187918844999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.americanairlinescenter.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,25.78133056740,-80.18791884500,361,799,NBA,19600,MIAMI HEAT,NOT APPLICABLE,EASTERN,SOUTHEAST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/heat/,NOT AVAILABLE,3
399,800,GOLDEN 1 CENTER,547 L ST,NOT AVAILABLE,SACRAMENTO,CA,95814,NOT AVAILABLE,(888) 915-4647,SINGLE USE,OPEN,17500,SACRAMENTO,06067,USA,38.649102206000000,-121.518158159000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://golden1center.com/,2016-02-08T00:00:00.000Z,IMAGERY/OTHER,2016-02-08T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,38.58032999970,-121.49965700000,362,800,NBA,17500,SACRAMENTO KINGS,NOT APPLICABLE,WESTERN,PACIFIC,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/kings/,MOVED FROM SLEEP TRAIN ARENA IN 2016,4
405,801,VIVINT SMART HOME ARENA,301 WEST SOUTH TEMPLE,NOT AVAILABLE,SALT LAKE CITY,UT,84101,NOT AVAILABLE,(916) 928-6900,SINGLE USE,OPEN,19911,SALT LAKE,49035,USA,40.768205528999900,-111.901025101000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.energysolutionsarena.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2016-02-05T00:00:00.000Z,DELTA CENTER,NOT AVAILABLE,ENERGYSOLUTIONS ARENA,2015,40.76820552880,-111.90102510100,363,801,NBA,19911,UTAH JAZZ,NOT APPLICABLE,WESTERN,NORTHWEST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/jazz/,NOT AVAILABLE,5
411,375,BMO HARRIS BRADLEY CENTER,1001 NORTH 4TH STREET,NOT AVAILABLE,MILWAUKEE,WI,53233,NOT AVAILABLE,(414) 227-0400,MULTIUSE,OPEN,18850,MILWAUKEE,55079,USA,43.043709999999900,-87.917164928999900,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.bmoharrisbradleycenter.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,BRADLEY CENTER,2012,43.04370999980,-87.91716492910,369,375,NBA,18717,MILWAUKEE BUCKS,NOT APPLICABLE,EASTERN,CENTRAL,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/bucks/,SHARES ARENA WITH MARQUETTE GOLDEN EAGLES (NCAA DIV I).,6
412,803,QUICKEN LOANS ARENA,1 CENTER COURT,NOT AVAILABLE,CLEVELAND,OH,44115,NOT AVAILABLE,(216) 420-2000,SINGLE USE,OPEN,20562,CUYAHOGA,39035,USA,41.496534001000000,-81.688180020000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.theqarena.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,GUND ARENA,2005,41.49653400130,-81.68818002040,365,803,NBA,20562,CLEVELAND CAVALIERS,NOT APPLICABLE,EASTERN,CENTRAL,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/cavaliers/,NOT AVAILABLE,7
413,804,ORACLE ARENA,7000 COLISEUM WAY,NOT AVAILABLE,OAKLAND,CA,94621,NOT AVAILABLE,(510) 569-2121,SINGLE USE,OPEN,19596,ALAMEDA,06001,USA,37.750292705000000,-122.202901692000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.coliseum.com/,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NOT AVAILABLE,-999,37.75029270470,-122.20290169200,366,804,NBA,19596,GOLDEN STATE WARRIORS,NOT APPLICABLE,WESTERN,PACIFIC,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/warriors/,NOT AVAILABLE,8
419,805,SMOOTHIE KING CENTER,1601 GIROD STREET,NOT AVAILABLE,NEW ORLEANS,LA,70113,NOT AVAILABLE,(504) 587-3663,SINGLE USE,OPEN,17003,ORLEANS,22071,USA,29.949036337999900,-90.082109716000000,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.neworleansarena.com/site.php,2015-01-30T00:00:00.000Z,IMAGERY/OTHER,2015-01-30T00:00:00.000Z,NOT AVAILABLE,NOT AVAILABLE,NEW ORLEANS ARENA,2014,29.94903633810,-90.08210971630,367,805,NBA,17003,NEW ORLEANS PELICANS,NOT APPLICABLE,WESTERN,SOUTHWEST,NOT APPLICABLE,NOT APPLICABLE,,NOT APPLICABLE,NOT APPLICABLE,2015-01-30T00:00:00.000Z,http://www.nba.com/pelicans/,NAME CHANGED FROM HORNETS TO PELICANS IN 2014,9
